,trade_date,close,open,high,low,vol
6464,19970819,1132.905,1134.617,1143.201,1128.109,2571981.0
6465,19970818,1134.634,1139.606,1139.606,1116.148,3357464.0
6466,19970815,1143.064,1174.183,1174.882,1133.89,4767614.0
6467,19970814,1168.113,1120.471,1168.335,1120.245,3952971.0
6468,19970813,1120.127,1139.246,1153.495,1118.202,3460815.0
6469,19970812,1146.809,1177.261,1183.436,1145.748,3936901.0
6470,19970811,1184.083,1206.456,1206.759,1182.447,5036508.0
6471,19970808,1206.053,1205.952,1216.561,1201.358,7033741.0
6472,19970807,1199.24,1167.927,1199.24,1161.632,3448699.0
6473,19970806,1171.941,1196.035,1197.445,1170.267,2972321.0
6474,19970805,1196.274,1203.358,1207.228,1193.696,3597457.0
6475,19970804,1200.333,1196.254,1201.92,1188.676,4326691.0
6476,19970801,1192.828,1191.651,1194.031,1182.223,3286478.0
6477,19970731,1189.76,1184.937,1192.2,1179.715,3763266.0
6478,19970730,1179.421,1157.09,1179.478,1157.004,3652351.0
6479,19970729,1153.229,1137.319,1161.195,1133.175,3033113.0
6480,19970728,1141.777,1167.813,1167.88,1138.475,3059538.0
6481,19970725,1170.862,1166.566,1177.653,1158.136,3112253.0
6482,19970724,1174.217,1194.705,1200.309,1172.367,3325957.0
6483,19970723,1198.861,1219.055,1223.823,1194.703,4808424.0
6484,19970722,1208.248,1189.118,1208.262,1163.468,4552630.0
6485,19970721,1193.525,1215.839,1218.481,1188.875,4940280.0
6486,19970718,1209.857,1199.399,1210.44,1191.289,4765964.0
6487,19970717,1197.226,1188.267,1203.504,1180.934,4578718.0
6488,19970716,1190.826,1201.595,1204.855,1184.445,5273630.0
6489,19970715,1200.114,1189.474,1201.214,1180.191,5727596.0
6490,19970714,1185.72,1163.293,1185.779,1158.447,5573165.0
6491,19970711,1154.794,1116.415,1155.056,1114.397,3965974.0
6492,19970710,1120.154,1121.259,1137.869,1115.212,3354190.0
6493,19970709,1120.841,1113.641,1122.674,1104.086,3214466.0
6494,19970708,1109.666,1092.799,1115.433,1066.044,3675202.0
6495,19970707,1096.819,1161.707,1163.447,1085.572,3526133.0
6496,19970704,1159.342,1138.921,1163.249,1124.776,4445420.0
6497,19970703,1150.623,1194.676,1194.676,1149.94,3737271.0
6498,19970702,1199.061,1255.909,1261.571,1147.331,3923861.0
6499,19970627,1250.272,1287.923,1291.978,1246.928,5632511.0
6500,19970626,1284.459,1295.11,1295.15,1280.846,4106079.0
6501,19970625,1297.592,1309.342,1311.202,1293.352,4441957.0
6502,19970624,1303.928,1287.185,1304.05,1283.724,4145512.0
6503,19970623,1283.495,1313.238,1322.983,1265.175,6216438.0
6504,19970620,1291.199,1243.996,1292.323,1243.996,4840670.0
6505,19970619,1230.74,1233.676,1250.639,1227.25,3087207.0
6506,19970618,1232.68,1252.016,1254.896,1230.301,3284719.0
6507,19970617,1245.934,1260.406,1263.899,1245.335,3604596.0
6508,19970616,1261.466,1255.766,1269.633,1255.766,4840552.0
6509,19970613,1243.979,1154.984,1244.239,1154.972,4544997.0
6510,19970612,1212.766,1224.474,1229.64,1211.799,2912346.0
6511,19970611,1220.395,1239.504,1244.006,1175.706,3670099.0
